Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301141200,Chek Lap Kok,24.4,21.0
202301141200,Cheung Chau,23.0,19.9
202301141200,Clear Water Bay,24.1,19.8
202301141200,Happy Valley,26.9,22.1
202301141200,HK Observatory,24.4,21.8
202301141200,HK Park,23.4,21.2
202301141200,Kai Tak Runway Park,23.1,20.7
202301141200,Kau Sai Chau,25.5,19.8
202301141200,King's Park,24.6,21.6
202301141200,Kowloon City,27.5,21.2
202301141200,Kwun Tong,24.7,21.3
202301141200,Lau Fau Shan,24.1,20.3
202301141200,Ngong Ping,20.1,18.8
202301141200,Pak Tam Chung,25.2,18.3
202301141200,Peng Chau,23.5,20.5
202301141200,Sai Kung,23.1,20.1
202301141200,Sha Tin,26.4,21.3
202301141200,Sham Shui Po,25.6,21.1
202301141200,Shau Kei Wan,23.1,21.1
202301141200,Shek Kong,27.3,20.0
202301141200,Sheung Shui,24.9,20.1
202301141200,Stanley,22.4,20.4
202301141200,Ta Kwu Ling,26.9,18.7
202301141200,Tai Lung,26.0,20.2
202301141200,Tai Mei Tuk,27.6,20.0
202301141200,Tai Mo Shan,19.0,16.6
202301141200,Tai Po,23.8,19.9
202301141200,Tate's Cairn,20.6,18.9
202301141200,The Peak,21.4,19.9
202301141200,Tseung Kwan O,25.2,20.9
202301141200,Tsing Yi,24.7,21.1
202301141200,Tsuen Wan Ho Koon,23.1,19.6
202301141200,Tsuen Wan Shing Mun Valley,25.1,19.9
202301141200,Tuen Mun,25.9,20.9
202301141200,Waglan Island,25.1,19.7
202301141200,Wetland Park,25.8,20.0
202301141200,Wong Chuk Hang,24.3,21.5
202301141200,Wong Tai Sin,27.0,21.6
202301141200,Yuen Long Park,27.2,20.3
