Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301030000,Chek Lap Kok,20.2,16.9
202301030000,Cheung Chau,21.3,15.4
202301030000,Clear Water Bay,20.7,15.5
202301030000,Happy Valley,22.5,17.6
202301030000,HK Observatory,21.6,17.2
202301030000,HK Park,21.5,16.9
202301030000,Kai Tak Runway Park,21.8,17.5
202301030000,Kau Sai Chau,22.3,15.0
202301030000,King's Park,22.3,16.8
202301030000,Kowloon City,N/A /
202301030000,Kwun Tong,21.3,16.3
202301030000,Lau Fau Shan,20.7,15.2
202301030000,Ngong Ping,17.9,11.0
202301030000,Pak Tam Chung,20.8,14.1
202301030000,Peng Chau,20.6,16.3
202301030000,Sai Kung,20.1,16.1
202301030000,Sha Tin,21.1,16.2
202301030000,Sham Shui Po,22.5,16.5
202301030000,Shau Kei Wan,21.4,16.3
202301030000,Shek Kong,21.1,15.1
202301030000,Sheung Shui,21.5,15.5
202301030000,Stanley,21.1,16.8
202301030000,Ta Kwu Ling,21.2,14.3
202301030000,Tai Lung,21.4,14.5
202301030000,Tai Mei Tuk,23.7,15.2
202301030000,Tai Mo Shan,15.7 /
202301030000,Tai Po,20.8,14.7
202301030000,Tate's Cairn,18.7,11.3
202301030000,The Peak,19.3,14.1
202301030000,Tseung Kwan O,22.2,15.8
202301030000,Tsing Yi,22.3,17.2
202301030000,Tsuen Wan Ho Koon,19.9,14.9
202301030000,Tsuen Wan Shing Mun Valley,22.4,14.5
202301030000,Tuen Mun,20.5,16.0
202301030000,Waglan Island,21.0,16.0
202301030000,Wetland Park,22.6,15.8
202301030000,Wong Chuk Hang,22.1,16.1
202301030000,Wong Tai Sin,22.2,16.8
202301030000,Yuen Long Park,21.1,15.6
