Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301130930,Chek Lap Kok,23.6,20.4
202301130930,Cheung Chau,20.1,18.9
202301130930,Clear Water Bay,19.5,17.8
202301130930,Happy Valley,22.0,19.9
202301130930,HK Observatory,20.7,18.9
202301130930,HK Park,20.3,18.9
202301130930,Kai Tak Runway Park,19.6,18.6
202301130930,Kau Sai Chau,19.6,18.1
202301130930,King's Park,21.0,18.6
202301130930,Kowloon City,20.6,18.5
202301130930,Kwun Tong,20.6,18.3
202301130930,Lau Fau Shan,21.5,19.6
202301130930,Ngong Ping,19.1,18.6
202301130930,Pak Tam Chung,19.3,18.1
202301130930,Peng Chau,20.6,19.3
202301130930,Sai Kung,19.2,18.4
202301130930,Sha Tin,21.5,19.8
202301130930,Sham Shui Po,21.8,19.7
202301130930,Shau Kei Wan,19.6,17.9
202301130930,Shek Kong,22.2,20.5
202301130930,Sheung Shui,21.3,19.8
202301130930,Stanley,19.6,18.3
202301130930,Ta Kwu Ling,20.8,19.4
202301130930,Tai Lung,21.7,19.7
202301130930,Tai Mei Tuk,20.4,18.7
202301130930,Tai Mo Shan,17.5,16.2
202301130930,Tai Po,20.1,19.1
202301130930,Tate's Cairn,19.0,16.0
202301130930,The Peak,20.2,19.0
202301130930,Tseung Kwan O,19.7,18.1
202301130930,Tsing Yi,21.8,20.2
202301130930,Tsuen Wan Ho Koon,20.7,19.4
202301130930,Tsuen Wan Shing Mun Valley,21.3,20.1
202301130930,Tuen Mun,21.4,20.4
202301130930,Waglan Island,18.5,17.4
202301130930,Wetland Park,22.5,20.1
202301130930,Wong Chuk Hang,21.8,21.2
202301130930,Wong Tai Sin,21.2,19.6
202301130930,Yuen Long Park,21.6,20.0
