Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301071400,Chek Lap Kok,22.3,17.4
202301071400,Cheung Chau,23.1,15.9
202301071400,Clear Water Bay,21.3,16.8
202301071400,Happy Valley,21.7,17.3
202301071400,HK Observatory,21.3,17.9
202301071400,HK Park,21.0,17.1
202301071400,Kai Tak Runway Park,21.4,18.1
202301071400,Kau Sai Chau,21.5,15.8
202301071400,King's Park,21.3,17.5
202301071400,Kowloon City,22.3,16.9
202301071400,Kwun Tong,21.0,16.8
202301071400,Lau Fau Shan,23.9,15.2
202301071400,Ngong Ping,18.1,12.3
202301071400,Pak Tam Chung,21.3,15.0
202301071400,Peng Chau,21.4,16.8
202301071400,Sai Kung,20.7,17.0
202301071400,Sha Tin,21.3,16.8
202301071400,Sham Shui Po,22.9,17.1
202301071400,Shau Kei Wan,20.5,17.1
202301071400,Shek Kong,23.1,14.3
202301071400,Sheung Shui,22.9,16.2
202301071400,Stanley,20.0,17.5
202301071400,Ta Kwu Ling,23.0,12.4
202301071400,Tai Lung,24.0,13.3
202301071400,Tai Mei Tuk,23.8,15.7
202301071400,Tai Mo Shan,15.6,10.7
202301071400,Tai Po,21.4,15.3
202301071400,Tate's Cairn,17.1,12.2
202301071400,The Peak,18.0,15.0*
202301071400,Tseung Kwan O,21.3,16.2
202301071400,Tsing Yi,22.5,16.8
202301071400,Tsuen Wan Ho Koon,22.3,14.9
202301071400,Tsuen Wan Shing Mun Valley,22.8,14.4
202301071400,Tuen Mun,22.9,16.8
202301071400,Waglan Island,20.7,16.5
202301071400,Wetland Park,24.2,15.2
202301071400,Wong Chuk Hang,22.2,17.0
202301071400,Wong Tai Sin,22.6,17.4
202301071400,Yuen Long Park,23.4,15.3
