Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301011250,Chek Lap Kok,16.1,13.4
202301011250,Cheung Chau,18.1,12.9
202301011250,Clear Water Bay,17.7,13.0
202301011250,Happy Valley,19.6,15.3
202301011250,HK Observatory,18.7,14.5
202301011250,HK Park,18.2,14.6
202301011250,Kai Tak Runway Park,19.3,14.6
202301011250,Kau Sai Chau,17.9,12.2
202301011250,King's Park,18.4,13.7
202301011250,Kowloon City,18.2,13.2
202301011250,Kwun Tong,18.1,13.3
202301011250,Lau Fau Shan,16.3,11.6
202301011250,Ngong Ping,12.7 /
202301011250,Pak Tam Chung,17.0,10.8
202301011250,Peng Chau,17.4,13.2
202301011250,Sai Kung,17.0,13.0
202301011250,Sha Tin,17.3,13.3
202301011250,Sham Shui Po,19.9,13.7
202301011250,Shau Kei Wan,18.5,13.9
202301011250,Shek Kong,16.9,11.2
202301011250,Sheung Shui,17.0,12.0
202301011250,Stanley,18.6,14.5
202301011250,Ta Kwu Ling,16.3 /
202301011250,Tai Lung,16.6,10.3
202301011250,Tai Mei Tuk,18.6,12.5
202301011250,Tai Mo Shan,13.2 /
202301011250,Tai Po,16.5,12.0
202301011250,Tate's Cairn,14.1 /
202301011250,The Peak,15.4,11.4
202301011250,Tseung Kwan O,19.0,13.4
202301011250,Tsing Yi,19.1,14.5
202301011250,Tsuen Wan Ho Koon,16.5,11.7
202301011250,Tsuen Wan Shing Mun Valley,18.8,11.6
202301011250,Tuen Mun,16.1,13.0
202301011250,Waglan Island,18.2,13.9
202301011250,Wetland Park,18.0,11.8
202301011250,Wong Chuk Hang,19.2,14.9
202301011250,Wong Tai Sin,18.7,13.9
202301011250,Yuen Long Park,16.7,11.9
