Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301030620,Chek Lap Kok,18.4,16.0
202301030620,Cheung Chau,15.9,14.5
202301030620,Clear Water Bay,16.3,13.8
202301030620,Happy Valley,18.0,16.8
202301030620,HK Observatory,17.8,16.1
202301030620,HK Park,17.4,16.2
202301030620,Kai Tak Runway Park,17.7,16.3
202301030620,Kau Sai Chau,15.7,14.4
202301030620,King's Park,17.1,15.4
202301030620,Kowloon City,N/A /
202301030620,Kwun Tong,16.3,15.1
202301030620,Lau Fau Shan,16.7,14.7
202301030620,Ngong Ping,12.1,10.1
202301030620,Pak Tam Chung,15.4,14.2
202301030620,Peng Chau,16.9,15.3
202301030620,Sai Kung,16.6,15.2
202301030620,Sha Tin,16.9,15.5
202301030620,Sham Shui Po,17.2,15.7
202301030620,Shau Kei Wan,16.5,15.6
202301030620,Shek Kong,16.6,14.7
202301030620,Sheung Shui,16.6,14.6
202301030620,Stanley,17.0,16.0
202301030620,Ta Kwu Ling,15.8,13.6
202301030620,Tai Lung,16.3,14.7
202301030620,Tai Mei Tuk,16.2,14.8
202301030620,Tai Mo Shan,10.6 /
202301030620,Tai Po,16.2,15.0
202301030620,Tate's Cairn,12.0,10.2
202301030620,The Peak,14.3,12.8
202301030620,Tseung Kwan O,16.4,15.5
202301030620,Tsing Yi,18.0,16.3
202301030620,Tsuen Wan Ho Koon,15.5,13.8
202301030620,Tsuen Wan Shing Mun Valley,16.0,14.7
202301030620,Tuen Mun,17.4,15.6
202301030620,Waglan Island,16.6,15.2
202301030620,Wetland Park,16.9,15.3
202301030620,Wong Chuk Hang,17.6,16.4
202301030620,Wong Tai Sin,17.2,15.7
202301030620,Yuen Long Park,16.8,15.1
