Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301090840,Chek Lap Kok,20.1,17.8
202301090840,Cheung Chau,18.1,17.4
202301090840,Clear Water Bay,18.2,17.1
202301090840,Happy Valley,19.7,18.5
202301090840,HK Observatory,19.3,18.2
202301090840,HK Park,18.9,18.0
202301090840,Kai Tak Runway Park,19.2,18.0
202301090840,Kau Sai Chau,18.2,16.0
202301090840,King's Park,18.9,17.7
202301090840,Kowloon City,19.0,17.6
202301090840,Kwun Tong,19.0,17.3
202301090840,Lau Fau Shan,18.4,15.9
202301090840,Ngong Ping,16.2,13.8
202301090840,Pak Tam Chung,16.2,15.1
202301090840,Peng Chau,18.9,17.8
202301090840,Sai Kung,18.7,16.8
202301090840,Sha Tin,18.7,17.0
202301090840,Sham Shui Po,19.5,18.0
202301090840,Shau Kei Wan,18.3,17.2
202301090840,Shek Kong,19.1,17.0
202301090840,Sheung Shui,18.6,17.0
202301090840,Stanley,18.7,17.6
202301090840,Ta Kwu Ling,18.4,15.9
202301090840,Tai Lung,19.4,16.5
202301090840,Tai Mei Tuk,17.9,16.1
202301090840,Tai Mo Shan,13.6,10.7
202301090840,Tai Po,18.3,16.7
202301090840,Tate's Cairn,14.1,12.5
202301090840,The Peak,16.7,15.1
202301090840,Tseung Kwan O,18.9,17.1
202301090840,Tsing Yi,20.1,18.9
202301090840,Tsuen Wan Ho Koon,18.3,16.9
202301090840,Tsuen Wan Shing Mun Valley,19.3,18.0
202301090840,Tuen Mun,18.5,17.1
202301090840,Waglan Island,17.5,16.8
202301090840,Wetland Park,19.0,16.7
202301090840,Wong Chuk Hang,20.1,18.8
202301090840,Wong Tai Sin,20.1,18.3
202301090840,Yuen Long Park,18.4,16.5
