Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301020050,Chek Lap Kok,17.9,17.4
202301020050,Cheung Chau,16.2,16.0
202301020050,Clear Water Bay,16.5,15.9
202301020050,Happy Valley,18.2,18.0
202301020050,HK Observatory,17.8,17.7
202301020050,HK Park,17.3,17.0
202301020050,Kai Tak Runway Park,17.8,17.6
202301020050,Kau Sai Chau,15.2,15.0
202301020050,King's Park,17.1,16.8
202301020050,Kowloon City,N/A /
202301020050,Kwun Tong,16.7,16.3
202301020050,Lau Fau Shan,15.9,15.8
202301020050,Ngong Ping,13.1,12.7
202301020050,Pak Tam Chung,14.4,14.1
202301020050,Peng Chau,16.9,16.8
202301020050,Sai Kung,16.6,16.1
202301020050,Sha Tin,16.3,16.2
202301020050,Sham Shui Po,16.7,16.6
202301020050,Shau Kei Wan,16.5,16.3
202301020050,Shek Kong,15.5,15.1
202301020050,Sheung Shui,15.8,15.7
202301020050,Stanley,17.0,16.8
202301020050,Ta Kwu Ling,14.6,14.3
202301020050,Tai Lung,14.8,14.6
202301020050,Tai Mei Tuk,15.6,15.3
202301020050,Tai Mo Shan,10.9,10.6
202301020050,Tai Po,14.9,14.7
202301020050,Tate's Cairn,12.7,12.5
202301020050,The Peak,14.6,14.2
202301020050,Tseung Kwan O,16.7,16.3
202301020050,Tsing Yi,18.2,18.0
202301020050,Tsuen Wan Ho Koon,15.6,15.4
202301020050,Tsuen Wan Shing Mun Valley,17.5,16.8
202301020050,Tuen Mun,16.8,16.5
202301020050,Waglan Island,16.5,16.2
202301020050,Wetland Park,16.1,15.8
202301020050,Wong Chuk Hang,18.1,17.9
202301020050,Wong Tai Sin,17.5,16.9
202301020050,Yuen Long Park,16.1,15.9
