Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301010920,Chek Lap Kok,16.1,13.4
202301010920,Cheung Chau,14.8,12.9
202301010920,Clear Water Bay,15.5,13.0
202301010920,Happy Valley,17.1,15.3
202301010920,HK Observatory,16.3,14.5
202301010920,HK Park,16.0,14.6
202301010920,Kai Tak Runway Park,16.5,14.6
202301010920,Kau Sai Chau,14.1,12.2
202301010920,King's Park,15.6,13.7
202301010920,Kowloon City,15.4,13.2
202301010920,Kwun Tong,16.0,13.3
202301010920,Lau Fau Shan,14.0,11.6
202301010920,Ngong Ping,10.4 /
202301010920,Pak Tam Chung,13.7,10.8
202301010920,Peng Chau,15.3,13.2
202301010920,Sai Kung,15.3,13.0
202301010920,Sha Tin,15.4,13.3
202301010920,Sham Shui Po,15.4,13.7
202301010920,Shau Kei Wan,16.1,13.9
202301010920,Shek Kong,13.6,11.2
202301010920,Sheung Shui,13.5,12.0
202301010920,Stanley,16.6,14.5
202301010920,Ta Kwu Ling,13.5 /
202301010920,Tai Lung,13.9,10.3
202301010920,Tai Mei Tuk,14.5,12.5
202301010920,Tai Mo Shan,11.9 /
202301010920,Tai Po,14.0,12.0
202301010920,Tate's Cairn,11.5 /
202301010920,The Peak,13.1,11.4
202301010920,Tseung Kwan O,15.8,13.4
202301010920,Tsing Yi,16.5,14.5
202301010920,Tsuen Wan Ho Koon,13.8,11.7
202301010920,Tsuen Wan Shing Mun Valley,15.5,11.6
202301010920,Tuen Mun,14.7,13.0
202301010920,Waglan Island,15.8,13.9
202301010920,Wetland Park,14.2,11.8
202301010920,Wong Chuk Hang,16.8,14.9
202301010920,Wong Tai Sin,15.6,13.9
202301010920,Yuen Long Park,13.5,11.9
