Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301141940,Chek Lap Kok,26.9,21.0
202301141940,Cheung Chau,25.5,19.4
202301141940,Clear Water Bay,25.9,19.8
202301141940,Happy Valley,27.3,21.6
202301141940,HK Observatory,24.7,21.8
202301141940,HK Park,24.8,21.0
202301141940,Kai Tak Runway Park,26.1,20.7
202301141940,Kau Sai Chau,27.3,19.8
202301141940,King's Park,25.4,21.6
202301141940,Kowloon City,27.6,21.2
202301141940,Kwun Tong,26.6,21.3
202301141940,Lau Fau Shan,24.6,20.3
202301141940,Ngong Ping,21.3,18.4
202301141940,Pak Tam Chung,26.9,18.3
202301141940,Peng Chau,24.8,20.4
202301141940,Sai Kung,25.3,20.1
202301141940,Sha Tin,27.2,21.3
202301141940,Sham Shui Po,26.7,21.1
202301141940,Shau Kei Wan,25.5,21.1
202301141940,Shek Kong,27.7,20.0
202301141940,Sheung Shui,27.2,20.1
202301141940,Stanley,24.7,19.9
202301141940,Ta Kwu Ling,28.7,18.7
202301141940,Tai Lung,26.6,20.2
202301141940,Tai Mei Tuk,27.6,20.0
202301141940,Tai Mo Shan,19.7,16.6
202301141940,Tai Po,26.3,19.9
202301141940,Tate's Cairn,20.7,17.7
202301141940,The Peak,21.8,19.2
202301141940,Tseung Kwan O,26.4,20.2
202301141940,Tsing Yi,25.9,20.9
202301141940,Tsuen Wan Ho Koon,24.4,19.6
202301141940,Tsuen Wan Shing Mun Valley,26.2,19.9
202301141940,Tuen Mun,27.1,20.9
202301141940,Waglan Island,25.3,19.7
202301141940,Wetland Park,27.5,20.0
202301141940,Wong Chuk Hang,24.7,21.2
202301141940,Wong Tai Sin,28.0,21.6
202301141940,Yuen Long Park,29.1,20.3
