Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301130940,Chek Lap Kok,23.9,20.4
202301130940,Cheung Chau,20.1,18.9
202301130940,Clear Water Bay,19.5,17.8
202301130940,Happy Valley,22.3,19.9
202301130940,HK Observatory,20.8,18.9
202301130940,HK Park,20.3,18.9
202301130940,Kai Tak Runway Park,19.6,18.6
202301130940,Kau Sai Chau,19.8,18.1
202301130940,King's Park,21.1,18.6
202301130940,Kowloon City,20.8,18.5
202301130940,Kwun Tong,20.9,18.3
202301130940,Lau Fau Shan,21.7,19.6
202301130940,Ngong Ping,19.1,18.6
202301130940,Pak Tam Chung,19.4,18.1
202301130940,Peng Chau,20.7,19.3
202301130940,Sai Kung,19.4,18.4
202301130940,Sha Tin,21.5,19.8
202301130940,Sham Shui Po,22.1,19.7
202301130940,Shau Kei Wan,19.6,17.9
202301130940,Shek Kong,22.3,20.5
202301130940,Sheung Shui,21.3,19.8
202301130940,Stanley,19.6,18.3
202301130940,Ta Kwu Ling,21.1,19.4
202301130940,Tai Lung,21.9,19.7
202301130940,Tai Mei Tuk,20.5,18.7
202301130940,Tai Mo Shan,17.5,16.2
202301130940,Tai Po,20.2,19.1
202301130940,Tate's Cairn,19.1,16.0
202301130940,The Peak,20.3,19.0
202301130940,Tseung Kwan O,19.8,18.1
202301130940,Tsing Yi,21.9,20.2
202301130940,Tsuen Wan Ho Koon,20.7,19.4
202301130940,Tsuen Wan Shing Mun Valley,21.4,20.1
202301130940,Tuen Mun,21.5,20.4
202301130940,Waglan Island,18.5,17.4
202301130940,Wetland Park,22.9,20.1
202301130940,Wong Chuk Hang,21.9,21.2
202301130940,Wong Tai Sin,21.3,19.6
202301130940,Yuen Long Park,21.7,20.0
