Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301010150,Chek Lap Kok,16.1,15.1
202301010150,Cheung Chau,14.5,13.7
202301010150,Clear Water Bay,15.5,14.3
202301010150,Happy Valley,16.7,16.2
202301010150,HK Observatory,16.3,15.6
202301010150,HK Park,16.0,15.5
202301010150,Kai Tak Runway Park,16.5,15.6
202301010150,Kau Sai Chau,14.1,13.1
202301010150,King's Park,15.6,14.7
202301010150,Kowloon City,15.0,14.0
202301010150,Kwun Tong,15.8,14.1
202301010150,Lau Fau Shan,13.5,12.9
202301010150,Ngong Ping,10.4 /
202301010150,Pak Tam Chung,13.0,11.7
202301010150,Peng Chau,15.3,14.4
202301010150,Sai Kung,15.3,14.4
202301010150,Sha Tin,15.4,14.7
202301010150,Sham Shui Po,15.4,14.6
202301010150,Shau Kei Wan,15.6,14.3
202301010150,Shek Kong,11.8,11.2
202301010150,Sheung Shui,13.1,12.1
202301010150,Stanley,16.3,15.2
202301010150,Ta Kwu Ling,9.9 /
202301010150,Tai Lung,10.8,10.3
202301010150,Tai Mei Tuk,14.5,13.5
202301010150,Tai Mo Shan,8.4 /
202301010150,Tai Po,14.0,13.1
202301010150,Tate's Cairn,11.5 /
202301010150,The Peak,13.0,12.3
202301010150,Tseung Kwan O,15.2,14.0
202301010150,Tsing Yi,16.4,15.8
202301010150,Tsuen Wan Ho Koon,13.8,12.6
202301010150,Tsuen Wan Shing Mun Valley,14.5,12.4
202301010150,Tuen Mun,14.7,14.0
202301010150,Waglan Island,15.8,15.2
202301010150,Wetland Park,12.8,11.8
202301010150,Wong Chuk Hang,16.2,15.1
202301010150,Wong Tai Sin,15.6,14.9
202301010150,Yuen Long Park,13.5,12.3
