Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202301011400,Chek Lap Kok,16.9,13.4
202301011400,Cheung Chau,19.6,12.9
202301011400,Clear Water Bay,19.1,13.0
202301011400,Happy Valley,20.5,15.3
202301011400,HK Observatory,18.7,14.5
202301011400,HK Park,19.0,14.6
202301011400,Kai Tak Runway Park,20.2,14.6
202301011400,Kau Sai Chau,19.0,12.2
202301011400,King's Park,19.5,13.7
202301011400,Kowloon City,19.6,13.2
202301011400,Kwun Tong,19.8,13.3
202301011400,Lau Fau Shan,16.8,11.6
202301011400,Ngong Ping,13.2 /
202301011400,Pak Tam Chung,18.2,10.8
202301011400,Peng Chau,17.7,13.2
202301011400,Sai Kung,17.8,13.0
202301011400,Sha Tin,18.7,13.3
202301011400,Sham Shui Po,21.0,13.7
202301011400,Shau Kei Wan,19.5,13.9
202301011400,Shek Kong,17.6,11.2
202301011400,Sheung Shui,17.0,12.0
202301011400,Stanley,19.3,14.5
202301011400,Ta Kwu Ling,16.6 /
202301011400,Tai Lung,17.1,10.3
202301011400,Tai Mei Tuk,19.2,12.5
202301011400,Tai Mo Shan,14.6 /
202301011400,Tai Po,17.0,12.0
202301011400,Tate's Cairn,15.2 /
202301011400,The Peak,17.1,11.4
202301011400,Tseung Kwan O,19.9,13.4
202301011400,Tsing Yi,20.1,14.5
202301011400,Tsuen Wan Ho Koon,17.7,11.7
202301011400,Tsuen Wan Shing Mun Valley,21.6,11.6
202301011400,Tuen Mun,17.5,13.0
202301011400,Waglan Island,18.6,13.9
202301011400,Wetland Park,18.5,11.8
202301011400,Wong Chuk Hang,20.4,14.9
202301011400,Wong Tai Sin,20.1,13.9
202301011400,Yuen Long Park,17.1,11.9
